date,year,month,day,day_of_year,season,city,latitude,longitude,temp_mean_c,temp_max_c,temp_min_c,temp_range_c,feels_like_c,dew_point_c,humidity_pct,precipitation_mm,wind_speed_kmh,wind_direction_deg,pressure_hpa,solar_radiation_mj_m2,sunshine_hours,weather_code,weather_description,nasa_temp_mean_c,nasa_temp_max_c,nasa_temp_min_c,nasa_precipitation_mm,nasa_humidity_pct,nasa_wind_speed_kmh,nasa_wind_direction_deg,nasa_pressure_hpa,data_source,dengue_new_hospitalizations,dengue_deaths,dengue_discharges,dengue_active_cases,dengue_cumulative_cases_yr,dengue_cumulative_deaths_yr,dengue_cfr_running_pct,dengue_dominant_serotype,dengue_alert_level,dengue_source,dengue_7day_avg,dengue_14day_avg,precip_lag7d_mm,precip_lag14d_mm,precip_lag21d_mm,humidity_lag7d_pct,humidity_lag14d_pct,humidity_lag21d_pct
2021-04-10,2021,4,10,100,Pre-Monsoon,Dhaka,23.71,90.41,30.85,37.58,24.33,13.2,30.4,21.0,51.0,1.26,8.28,209.7,1008.6,15.0,7.4,2,Partly cloudy,30.85,37.58,24.33,1.26,50.96,8.28,209.7,1008.6,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),7,0,0,7,7,0,0.0,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),7.0,7.0,,,,,,
2021-04-11,2021,4,11,101,Pre-Monsoon,Dhaka,23.71,90.41,31.9,38.64,25.06,13.6,31.5,22.3,51.8,0.11,9.94,201.0,1009.6,16.7,7.0,61,Moderate rain,31.9,38.64,25.06,0.11,51.76,9.94,201.0,1009.6,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),5,0,7,12,12,0,0.0,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),6.0,6.0,,,,,,
2021-04-12,2021,4,12,102,Pre-Monsoon,Dhaka,23.71,90.41,32.63,39.54,27.03,12.5,32.1,22.4,48.6,0.02,11.63,206.9,1009.6,21.8,6.0,3,Overcast,32.63,39.54,27.03,0.02,48.61,11.63,206.9,1009.6,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),4,0,12,16,16,0,0.0,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),5.3,5.3,,,,,,
2021-04-13,2021,4,13,103,Pre-Monsoon,Dhaka,23.71,90.41,32.7,39.94,26.45,13.5,31.8,21.1,41.9,0.01,12.56,205.9,1008.4,19.5,8.0,1,Mainly clear,32.7,39.94,26.45,0.01,41.9,12.56,205.9,1008.4,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),2,0,16,18,18,0,0.0,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),4.5,4.5,,,,,,
2021-04-14,2021,4,14,104,Pre-Monsoon,Dhaka,23.71,90.41,32.01,39.67,25.12,14.6,31.4,21.6,48.1,0.01,11.81,190.4,1007.6,20.1,7.7,1,Mainly clear,32.01,39.67,25.12,0.01,48.08,11.81,190.4,1007.6,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),3,0,18,21,21,0,0.0,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),4.2,4.2,,,,,,
2021-04-15,2021,4,15,105,Pre-Monsoon,Dhaka,23.71,90.41,30.07,35.28,25.63,9.7,30.0,22.0,59.4,0.02,13.79,171.9,1006.8,15.8,7.6,61,Moderate rain,30.07,35.28,25.63,0.02,59.4,13.79,171.9,1006.8,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),4,0,14,18,25,0,0.0,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),4.2,4.2,,,,,,
2021-04-16,2021,4,16,106,Pre-Monsoon,Dhaka,23.71,90.41,29.48,35.59,25.71,9.9,29.2,20.3,53.9,0.65,14.15,176.5,1007.8,24.8,6.6,3,Overcast,29.48,35.59,25.71,0.65,53.86,14.15,176.5,1007.8,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),4,0,13,17,29,0,0.0,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),4.1,4.1,,,,,,
2021-04-17,2021,4,17,107,Pre-Monsoon,Dhaka,23.71,90.41,28.94,35.37,23.61,11.8,29.0,21.4,62.2,10.83,9.83,154.9,1009.1,21.0,7.3,2,Partly cloudy,28.94,35.37,23.61,10.83,62.23,9.83,154.9,1009.1,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),8,0,13,21,37,0,0.0,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),4.3,4.6,1.26,,,51.0,,
2021-04-18,2021,4,18,108,Pre-Monsoon,Dhaka,23.71,90.41,29.48,35.63,24.12,11.5,29.6,21.9,61.9,14.24,10.98,189.2,1008.5,20.8,6.2,2,Partly cloudy,29.48,35.63,24.12,14.24,61.86,10.98,189.2,1008.5,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),6,0,19,25,43,0,0.0,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),4.4,4.8,0.11,,,51.8,,
2021-04-19,2021,4,19,109,Pre-Monsoon,Dhaka,23.71,90.41,30.91,38.05,24.62,13.4,30.7,21.9,55.1,0.36,15.98,191.4,1005.9,20.7,7.7,3,Overcast,30.91,38.05,24.62,0.36,55.12,15.98,191.4,1005.9,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),3,0,22,25,46,0,0.0,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),4.3,4.6,0.02,,,48.6,,
2021-04-20,2021,4,20,110,Pre-Monsoon,Dhaka,23.71,90.41,31.1,39.03,24.07,15.0,31.0,22.8,58.6,0.51,14.76,185.2,1005.8,19.7,5.2,61,Moderate rain,31.1,39.03,24.07,0.51,58.62,14.76,185.2,1005.8,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),2,0,21,23,48,0,0.0,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),4.3,4.4,0.01,,,41.9,,
2021-04-21,2021,4,21,111,Pre-Monsoon,Dhaka,23.71,90.41,31.62,37.8,25.6,12.2,31.6,23.6,59.8,0.07,12.82,174.8,1007.3,24.3,7.5,61,Moderate rain,31.62,37.8,25.6,0.07,59.81,12.82,174.8,1007.3,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),4,0,19,23,52,0,0.0,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),4.4,4.3,0.01,,,48.1,,
2021-04-22,2021,4,22,112,Pre-Monsoon,Dhaka,23.71,90.41,31.56,38.23,26.01,12.2,31.4,22.9,56.5,4.46,8.28,235.7,1007.4,17.5,6.9,61,Moderate rain,31.56,38.23,26.01,4.46,56.47,8.28,235.7,1007.4,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),3,0,15,18,55,0,0.0,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),4.3,4.2,0.02,,,59.4,,
2021-04-23,2021,4,23,113,Pre-Monsoon,Dhaka,23.71,90.41,31.23,37.65,25.84,11.8,30.8,21.3,50.5,0.07,9.18,1.3,1006.8,20.2,6.1,3,Overcast,31.23,37.65,25.84,0.07,50.46,9.18,1.3,1006.8,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),5,1,11,17,60,1,1.6667,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),4.4,4.3,0.65,,,53.9,,
2021-04-24,2021,4,24,114,Pre-Monsoon,Dhaka,23.71,90.41,31.68,39.27,24.6,14.7,30.6,19.2,37.5,0.0,7.81,43.3,1006.5,17.2,8.7,1,Mainly clear,31.68,39.27,24.6,0.0,37.46,7.81,43.3,1006.5,NASA POWER MERRA-2 (primary) + ERA5-normals sim (solar/sunshine/weather-code),5,0,14,19,65,1,1.5385,DENV-3,Watch,DGHS/WHO/PMC anchored estimates (daily distribution),4.0,4.1,10.83,1.26,,62.2,51.0,
